title,sentence,old_annotation,new_annotation,note,check,de_xuat,chú giải,final
Chiến tranh Tống–Việt lần thứ nhất,Chiến tranh Tống - Việt lần thứ nhất (1075-1077) là cuộc chiến tranh bảo vệ lãnh thổ của Đại Việt chống lại sự xâm lược của nhà Tống.,minor_inaccurate,major_inaccurate,Cả đoạn này hiểu nhầm sang Tống Việt lần thứ 2 nên câu đầu này hoàn toàn không biết nó đang nói về T-V lần 1.,x,,,minor_inaccurate
Chiến tranh Tống–Việt lần thứ nhất,"Chiến thắng này đã bảo vệ vững chắc chủ quyền lãnh thổ của Đại Việt, đồng thời khẳng định sức mạnh của quân đội Đại Việt và uy tín của nhà Lý trên trường quốc tế.",minor_inaccurate,major_inaccurate,"Lãnh thổ của Đại Cồ Việt mới đúng và nhà này đang là nhà Lê, câu này hoài toàn bị hallu",,,,major_inaccurate
Chiến tranh Tống–Việt lần thứ nhất,"Chiến thắng này cũng góp phần củng cố khối đoàn kết dân tộc, tạo điều kiện cho Đại Việt phát triển kinh tế, văn hóa, xã hội.",accurate,major_inaccurate,Câu này vẫn đang hiểu sai theo nguyên đoạn (đang nói về Đại Việt),,,,major_inaccurate
Chiến tranh Nguyên Mông – Đại Việt,"Chiến tranh Nguyên Mông - Đại Việt là một chuỗi cuộc chiến tranh kéo dài từ năm 1258 đến năm 1288, đánh dấu cuộc chiến chống xâm lược của Đại Việt chống lại đế chế Nguyên Mông hùng mạnh.",minor_inaccurate,accurate,Câu này đúng mà ta,x,,"Diễn ra vào các năm 1258, 1285 và 1287-88, không phải từ 1258 đến 1288",minor_inaccurate
Chiến tranh Nguyên Mông – Đại Việt,"Ba lần xâm lược của quân Nguyên Mông đều thất bại trước sức kháng cự quyết liệt của quân dân Đại Việt, thể hiện tinh thần yêu nước, ý chí kiên cường và tài năng quân sự của các tướng lĩnh như Trần Hưng Đạo, Trần Quốc Tuấn, Trần Khánh Dư.",accurate,minor_inaccurate,Trần Hưng Đạo với Trần Quốc Tuấn là 1 thì có coi là liệt kê sai ko nhỉ??,x,,"t nghĩ là ko sai, nó chỉ thừa-lặp thôi",accurate
Chiến tranh Tây Sơn – Chúa Nguyễn (1771–1785),"Chiến tranh Tây Sơn - Chúa Nguyễn (1771-1785) là một cuộc chiến tranh khốc liệt và kéo dài, đánh dấu sự sụp đổ của chính quyền chúa Nguyễn và sự trỗi dậy của phong trào Tây Sơn.",minor_inaccurate,accurate,Câu này đúng mà nhỉ,,,,accurate
Chiến tranh Tây Sơn – Chúa Nguyễn (1771–1785),"Cuộc chiến tranh kết thúc với chiến thắng của quân Tây Sơn, đánh dấu sự sụp đổ của chính quyền chúa Nguyễn và mở ra một thời kỳ mới cho lịch sử Việt Nam.",major_inaccurate,minor_inaccurate,Giai đoạn đầu thì Tây Sơn thắng đúng rồi mà nhỉ còn phần mở ra thời kì mới thì hơi sai thôi.,x,accurate,"""Tây Sơn chiến thắng. Nhà Tây Sơn thành lập, chính quyền họ Nguyễn sụp đổ, Nguyễn Ánh chạy thoát.""  này chắc gõ nhầm chứ nó accurate mà",accurate
Trận Ngọc Hồi – Đống Đa,"Chiến thắng này đã chấm dứt cuộc xâm lược của quân Thanh, bảo vệ nền độc lập của đất nước và khẳng định sức mạnh của quân đội Việt Nam.",accurate,minor_inaccurate,Câu sức mạnh quân đội Việt Nam dùng trong thời kì này nghe khá là sai,,,,minor_inaccurate
Trận Ngọc Hồi – Đống Đa,"Trận đánh diễn ra trên hai địa điểm chính là Ngọc Hồi và Đống Đa, với chiến thuật đánh nhanh, gọn, tập trung vào điểm yếu của quân địch.",accurate,minor_inaccurate,"câu ""tập trung vào điểm yếu của quân địch"" chả có liên quan gì",x,,"""...chiến thuật kết hợp vừa gấp gáp vừa thư thả, giương đông kích tây, tránh chỗ mạnh nhằm chỗ yếu hơn ở Ngọc Hồi – Khương Thượng đã đạt đến đỉnh cao trong nghệ thuật quân sự của Nguyễn Huệ...""",accurate
Trường Chinh,Ông sinh năm 1907 tại tỉnh Nghệ An và là một trong những người sáng lập Đảng Cộng sản Việt Nam.,major_inaccurate,minor_inaccurate,Câu này vẫn đúng đc năm 1907 mà,x,,"Cũng nhiều ông sinh 1907 mà, t thấy nó sai context lẫn fact",minor_inaccurate
Trường Chinh,"Trường Chinh giữ nhiều vai trò quan trọng trong cuộc cách mạng giải phóng dân tộc, từ việc lãnh đạo phong trào cách mạng trong những năm 1930 đến việc giữ chức vụ Bí thư thứ nhất Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam từ năm 1956 đến năm 1986.",minor_inaccurate,major_inaccurate,"1930 ổng bị đi tù, Bí Thư từ 1956-1986 cũng sai",,câu đó gọi vai trò quan trọng gì nữa nhưng ông này máy năm đó ko có  gì là quan trọng lắm á,"""Năm 1930, Đặng Xuân Khu được chỉ định vào Ban tuyên truyền cổ động Trung ương"" xong mớ bị đi tù; lãnh đạo cuộc bãi khóa có tính là cách mạng ko, với ""những năm 1930"" thì có bao gồm 1926 ko nhỉ",major_inaccurate
Trường Chinh,"Trường Chinh được xem là một trong những người có công lớn trong việc lãnh đạo cách mạng Việt Nam giành thắng lợi, đưa đất nước thoát khỏi ách thống trị của thực dân Pháp và đế quốc Mỹ.",accurate,minor_inaccurate,Ông không có công gì nhiều trong kháng chiến Mỹ,,,,minor_inaccurate
Trường Chinh,"Ông qua đời năm 1991, để lại một di sản to lớn cho thế hệ mai sau.",accurate,major_inaccurate,"Ông mất 1988, di sản không được nhắc gì tới",x,minor_inaccurate,Di sản là tác phẩm văn học ấy fen,minor_inaccurate
Lê Duẩn,"Ông cũng là người chủ trương xây dựng chủ nghĩa xã hội ở Việt Nam, đưa ra nhiều chính sách kinh tế - xã hội quan trọng.",minor_inaccurate,accurate,câu này đúng mà,,,,accurate
Nguyễn Cơ Thạch,Ông là một trong những người lãnh đạo chủ chốt của Đảng Cộng sản Việt Nam trong thời kỳ kháng chiến chống Pháp và chống Mỹ.,minor_inaccurate,major_inaccurate,Câu này tui thấy sai hết ông không liên quan gì đến việc lãnh đạo,,,,major_inaccurate
Nguyễn Cơ Thạch,"Ông được biết đến với vai trò quan trọng trong việc thiết lập và phát triển quan hệ ngoại giao của Việt Nam với các nước trên thế giới, đặc biệt là với các nước xã hội chủ nghĩa.",accurate,minor_inaccurate,Tui thấy ông có vai trò quan trọng trong đối ngoại với mỹ hơn,,,,minor_inaccurate
